"case_id","family","core_stress","archetype","historical_inspiration","fictional_actors","target_event","horizon","primary_manipulated_property","expected_primary_relation","authority_case","sentinel_block","main_known_confound","temporal_contract_pass","leakage_check_pass"
"C01","Family 1 — Diagnostic Strength + Directionality","CORE","nuclear_dyad","Cuban-Missile-Crisis discovery structure rescoped from deployment-detection to launch-preparation-detection","Auren Commonwealth | Republic of Kizar","The Auren Commonwealth initiates a kinetic operation — airstrike, cruise-missile strike, ballistic-missile strike, or ground raid — against the Kizari strategic-missile deployment complex at Gamma-4 or its immediate defensive perimeter.","14 days from assessment time","diagnosticity_of_evidence_for_the_escalation_event_via_preemption_pathway","P(SD) >> P(WD) > P(BL) ≈ P(ND)","NO","NONE","Evaluator may over-weight WD ambiguity if maintenance-vs-preparation ambiguity is misread as preparation","YES","YES"
"C02","Family 1 — Diagnostic Strength + Directionality","CORE","coercive_signaling","Taiwan-Strait exercise wind-down (1996 / 2022 templates)","Vardena Federation | Pelagos Republic","Vardena Federation initiates a declared or de facto coercive blockade of Pelagos Republic principal ports, or conducts a kinetic strike against Pelagos territory or Pelagos-flagged vessels.","14 days from assessment time","diagnosticity_of_evidence_for_de-escalation","P(SD) << P(WD) < P(BL) ≈ P(ND)","YES","NONE","Anchoring on peak-exercise baseline may suppress DOWN update","YES","YES"
"C03","Family 2 — Source Independence + Corroboration","CORE","proxy_allied_escalation","Yom Kippur 1973 superpower involvement + Angola-style patron intervention","Estara Republic | Norhaven Union | Damaris State","Norhaven Union directly deploys combat forces into engagement with Damaris State, or conducts direct kinetic operations against Damaris targets, in support of Estara Republic.","7 days from assessment time","genuine_source_independence_and_corroboration","P(SD) >> P(WD) > P(BL) ≈ P(ND)","NO","NONE","Evaluator may treat SD as merely 'three reports' without pricing in independence property despite the provenance annex","YES","YES"
"C04","Family 2 — Source Independence + Corroboration","STRESS","border_mobilization","1967 Sinai HUMINT clustering + Iraq-WMD-style circular reporting; echo-reporting mechanism","Darsen Republic | Selvar Union","Darsen Republic conducts a ground offensive across the international border into Selvar Union territory with organized combined-arms formations of division scale or larger.","14 days from assessment time","apparent_vs_actual_source_independence","P(SD) ≈ P(WD) > P(BL) ≈ P(ND)","NO","NONE","Evaluator may skip or under-weight the provenance annex (SD-05) and default to source-count heuristics","YES","YES"
"C05","Family 3 — Source Quality + Temporal Relevance","CORE","maritime","Tanker-War-style reliability-differential structure; civilian-airliner surface features avoided","Meridia | Ordan Federation","Hostile fire is exchanged between naval combatants of Meridia and Ordan Federation, defined as any gun, missile, or torpedo firing between vessels of the two states resulting in damage or attempted damage.","14 days from assessment time","source_quality_with_content_held_constant","P(SD) > P(WD) > P(BL) ≈ P(ND)","NO","NONE","Evaluator may treat WD and SD as equivalent because content is nearly identical, failing to weight pedigree differential","YES","YES"
"C06","Family 3 — Source Quality + Temporal Relevance","CORE","border_mobilization","Yom-Kippur-style warning anatomy without calendar/religious surface features; Ladakh baseline-decay as fallback","Selvar Union | Darsen Republic","Selvar Union initiates a local ground offensive against Darsen Republic forward positions in the Talven sector, defined as any organized brigade-scale or larger ground attack across the line of contact.","7 days from assessment time","temporal_relevance_recency_of_warning","P(SD) > P(WD) > P(BL); P(ND) ≤ P(BL)","NO","NONE","Cry-wolf inertia may cause under-weighting of SD despite recency","YES","YES"
"C07","Family 4 — Contradictory Evidence","STRESS","nuclear_dyad","Able Archer 83 exercise-signature ambiguity crossed with Petrov-style sensor conflict","Republic of Kizar | Auren Commonwealth","Either Republic of Kizar or Auren Commonwealth transitions from alert posture to a launch-order state, defined as movement to Emergency Action Message dissemination or equivalent authenticated release authority command traffic against strategic-forces units.","72 hours from assessment time","credible_counterevidence_that_dampens_earlier_update","P(WD) > P(SD) ≥ P(BL) ≈ P(ND)","NO","C07-SD","Availability bias may cause evaluator to resolve contradiction toward alarming reading","YES","YES"
"C08","Family 4 — Contradictory Evidence","STRESS","airspace_missile","Su-24 / U-2-style fictional military-aircraft intrusion; no civilian-airliner surface features","Caldria | Eryon Republic","Eryon Republic conducts a retaliatory airstrike against Caldrian airbase, air-defense infrastructure, or aircraft, defined as any Eryon air-launched or surface-launched strike causing damage or attempted damage to Caldrian military assets.","7 days from assessment time","credible_counterattribution_evidence_that_dampens_earlier_update","P(WD) > P(SD) ≥ P(BL) ≈ P(ND)","NO","NONE","Evaluator may resolve to the actionable deep-incursion reading (availability)","YES","YES"
"C09","Family 5 — Salience + Pathway-Conditioned Diagnosticity","CORE","maritime_expeditionary","Falklands-style pre-invasion structure with archipelago and triggering-incident features altered; expeditionary skeleton preserved without unique historical surface artifacts","Sorelia | Terenne Commonwealth","Sorelia conducts a seizure operation against the Halvern archipelago, defined as landing of organized Sorelian military force with intent to hold territory and displace or overpower the Terenne garrison.","14 days from assessment time","diagnosticity_independent_of_salience","P(SD) >> P(WD) > P(BL) ≈ P(ND)","NO","NONE","Availability and vividness biases pull toward over-weighting ND","YES","YES"
"C10","Family 5 — Salience + Pathway-Conditioned Diagnosticity","STRESS","coercive_signaling","1990 Iraq–Kuwait pathway-branching (coerce vs seize) blended with Taiwan-Strait coercive-exercise pathway structure","Vardena Federation | Pelagos Republic","Vardena Federation initiates a coercive maritime blockade of Pelagos Republic, defined as declared or de facto interdiction of commercial shipping into and out of Pelagos's principal ports.","14 days from assessment time","pathway_conditioned_diagnosticity","P(SD) >> P(WD) > P(BL) ≈ P(ND) on the blockade-only target","YES","C10-SD_AUTH","Reading SD as generic escalation evidence without pathway partition inflates P across all pathways","YES","YES"
